name,year,section,mainImage,images,dimensions
Leisure,2022,paints,leisure-1-2022.jpg,"leisure-1-2022.jpg;leisure-2-2022.jpg","40,30,1.5"
Lilly,2022,paints,lilly-1-2022.jpg,"lilly-1-2022.jpg","30,30"
Lotus Decay,2022,paints,lotus_decay-1-2022.jpg,"lotus_decay-1-2022.jpg;lotus_decay-2-2022.jpg","30,30"
Portrait Dissection #17,2023,paints,portrait_dissection_17-1-2023.png,"portrait_dissection_17-1-2023.png","48,48"
Portrait Dissection #18,2023,paints,portrait_dissection_18-1-2023.png,"portrait_dissection_18-1-2023.png","48,48"
Portrait Dissection #19,2023,paints,portrait_dissection_19-1-2023.png,"portrait_dissection_19-1-2023.png","48,48"
Susurro (Whisper),2022,paints,susurro_whisper-1-2022.png,"susurro_whisper-1-2022.png;susurro_whisper-2-2022.png","40,30,1.5"
Sweetgum Beauty,2022,paints,sweetgum_beauty-1-2022.jpg,"sweetgum_beauty-1-2022.jpg;sweetgum_beauty-2-2022.jpg","30,30"
Untitled #1,2015,paints,untitled_1-1-2015.png,"untitled_1-1-2015.png;untitled_1-2-2015.png","40,30,1.5"
Untitled #38,2018,paints,untitled_38-1-2018.png,"untitled_38-1-2018.png","40,30,2"
Untitled #39,2018,paints,untitled_39-1-2018.png,"untitled_39-1-2018.png;untitled_39-2-2018.png","40,30,2"
Wire Mesh #6,2022,sculptures,wm_6-1-2022.png,"wm_6-1-2022.png",
Wire Mesh #7,2022,sculptures,wm_7-1-2022.png,"wm_7-1-2022.png",
Wire Mesh #8,2022,sculptures,wm_8-1-2022.png,"wm_8-1-2022.png",
Wire Mesh #33,2022,sculptures,wm_33-1-2022.png,"wm_33-1-2022.png","40,18,5"
Wire Mesh #34,2022,sculptures,wm_34-1-2022.png,"wm_34-1-2022.png","40,18,5"
Wire Mesh #35,2022,sculptures,wm_35-1-2022.png,"wm_35-1-2022.png","44,17,5.5"
Wire Mesh #45,2023,sculptures,wm_45-1-2023.png,"wm_45-1-2023.png","18,8,5"
Wire Mesh #47,2023,sculptures,wm_47-1-2023.png,"wm_47-1-2023.png","21,49,2"
Wire Mesh #48,2023,sculptures,wm_48-1-2023.png,"wm_48-1-2023.png;wm_48-2-2023.png","14,43,7.5"
Wire Mesh #61,2023,sculptures,wm_61-1-2023.png,"wm_61-1-2023.png","48,10,5"
Wire Mesh #63,2023,sculptures,wm_63-1-2023.png,"wm_63-1-2023.png;wm_63-2-2023.png","53,11,3.3"
Wire Mesh #69,2023,sculptures,wm_69-1-2023.png,"wm_69-1-2023.png;wm_69-2-2023.png",
Wire Mesh #70,2023,sculptures,wm_70-1-2023.png,"wm_70-1-2023.png;wm_70-2-2023.png",
